,project_name,project_url,snky_url,project_test_frequency,project_total_dependency,project_last_tested,project_issue_count,project_monitored
89,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/1ab842fb-a3f1-48ae-bef8-73d3235a5d6d,daily,0,2023-01-19T23:51:15.058Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
90,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/f30f5d5b-e421-44c8-ac2f-ec0abb388f94,daily,414,2023-01-19T23:48:39.049Z,"IssueCounts(low=372, medium=27, high=4, critical=1)",True
91,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/01b0e863-9dcb-431f-aea7-66182343c2d6,daily,128,2023-01-19T23:43:12.299Z,"IssueCounts(low=6, medium=41, high=59, critical=2)",True
92,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/233be8b5-615d-440b-8b20-9bcab2bf1cb8,daily,0,2023-01-19T23:32:59.547Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
93,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/8e8adc93-747f-4f4a-9a92-2b49d61a408b,daily,0,2023-01-19T23:14:54.511Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
94,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/31a54fef-5736-45c5-a514-f98dbfe8d398,daily,53,2023-01-19T23:10:07.557Z,"IssueCounts(low=0, medium=0, high=2, critical=0)",True
95,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/bac3153d-b73d-4e3a-8996-929e298f92b5,daily,4,2023-01-19T22:57:41.943Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
96,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/fdd8ec2a-5883-4e9b-9a7f-138926e3e8c0,daily,45,2023-01-19T22:51:08.663Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
97,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-cam-v3,https://app.snyk.io/org/bedrock-1rn/project/fa0d0e79-2228-4dfa-a3eb-4beebfac61bd,daily,0,2023-01-19T22:49:05.935Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
98,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-appconfig-api,https://app.snyk.io/org/bedrock-1rn/project/adf95c0a-6122-4a09-a02e-f92accf76377,daily,424,2023-01-19T22:47:13.406Z,"IssueCounts(low=1, medium=7, high=1, critical=0)",True
99,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-app-config-service,https://app.snyk.io/org/bedrock-1rn/project/51a20b3d-d402-4036-8d5b-a01e31d10d59,daily,447,2023-01-19T22:46:49.736Z,"IssueCounts(low=1, medium=7, high=1, critical=0)",True
100,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-event-processing-system,https://app.snyk.io/org/bedrock-1rn/project/4ed1ac34-1d61-4a49-9166-ec1d5dfd56fc,daily,0,2023-01-19T22:14:09.005Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
101,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/c00ace85-e109-4d71-937b-2728a95ad72e,daily,97,2023-01-19T22:11:35.004Z,"IssueCounts(low=4, medium=38, high=58, critical=1)",True
